date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,7,1,,0,0,Trigger Point (GB),4,F,152,,3:32.60,212.60,3.25,Tom OBrien,Hughie Morrison,1559.52,–,93,Double Trigger (IRE),Flirtatious GB,Generous,Mrs M D W Morrison,Well in touch in midfield - effort over 1f out - ridden to lead 1f out - held on well final furlong - ridden out(op 3/1 tchd 2/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,1,2,,0.2,0.2,Jambul Tree (GB),4,F,152,h,3:32.64,212.64,9.00,Daryl Jacob,Robert Walford,457.92,–,93,Apple Tree (FR),Jambles GB,Muhtarram,Mrs Susan Brimble,Held up in touch in rear - effort over 1f out - every chance 1f out - kept on well under pressure - always just held(op 12/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,4,3,,2,1.75,Native Princess (GB),4,F,152,,3:33.00,213.00,21.00,Joshua Moore,Renee Robeson,228.96,–,91,Tobougg (IRE),Forest Pride (IRE),Be My Native,The Oakley Partnership,Well in touch in midfield - ridden and effort 2f out - chasing leaders and not clear run 1f out - switched right inside final furlong - kept on(op 25/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,6,4,,4,2,Silver Songstress (GB),4,F,145,,3:33.40,213.40,13.00,Nathan Moscrop,John Weymes,114.48,–,89,Singspiel (IRE),Composing (IRE),Noverre,Thoroughbred Partners Highmoor Racing,Led until halfway - stayed upsides leader until ridden to lead again 2f out - headed 1f out - one pace final 100yds(tchd 10/1)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,5,5,,9,5,Pas De Chapeau (IRE),5,M,152,,3:34.40,214.40,4.00,Jamie Moore,Paul W Flynn,,–,84,Milan (GB),Derravaragh Native (IRE),Be My Native,Big Hat No Cattle Syndicate,Pressed leader until led halfway - ridden and headed 2 out - no extra and beaten over 1f out - weakened final furlong(op 5/2 tchd 7/2)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,2,6,,13.5,4.5,Kildas Rock (GB),5,M,152,,3:35.30,215.30,3.25,Ryan Mahon,Harry Fry,,–,80,Rocamadour (GB),St Kilda GB,Past Glories,Harry Fry Racing Club,Chased leaders until ridden and lost place over 2f out - weakened over 1f out(op 2/1 tchd 5/2)
2014-11-11,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race,NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,7,3,7,,34.5,21,Looks Can Kill (GB),4,F,152,,3:39.50,219.50,15.00,Richie McLernon,Hugo Froud,,–,59,Dylan Thomas (IRE),Looker GB,Barathea,Invictus,Took keen hold - held up in last pair - ridden over 3f out - soon beaten - lost touch 2f out(op 16/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,6,1,,0,0,Prince Of Poets (GB),3,G,152,,2:54.10,174.10,6.00,Sam Twiston-Davies,Joseph Tuite,1559.52,–,95,Byron (GB),Princess Maud (USA),Irish River,Joseph Tuite,Made all - kicked for home just over 2f out - pushed out firmly final furlong - held on(op 7/2 tchd 3/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,2,2,,.75,.75,Dracos Code (GB),3,G,152,,2:54.25,174.25,3.00,Jamie Moore,Gary Moore,457.92,–,94,Galileo (IRE),Lady Karr GB,Mark Of Esteem,The Golf Partnership,Held up in midfeld - outpaced 2f out - progress to take 3rd over 1f out - driven and ran on to take 2nd last strides - closing rapidly near finish(op 3/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,8,3,,1,0.3,Symphony Of Kings (GB),3,G,152,,2:54.30,174.30,26.00,Lee Edwards,Tony Carroll,228.96,–,94,Lucarno (USA),Flying Lion GB,Hunting Lion,T R Pearson,Tracked leading pair - went 2nd over 2f out - ridden over 1f out - closed final furlong - no extra last 50yds and lost 2nd near finish(op 16/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,7,4,,2.25,1.25,Silver Mountain (GB),3,G,152,,2:54.55,174.55,9.00,Richard Johnson,J R Jenkins,114.48,–,92,Sir Percy (GB),Pearl Bright (FR),Kaldoun,Ms Aurelija Juskaite,Held up in last - progress on wide outside bend 2f out - took 4th over 1f out - stayed on but unable to challenge(op 14/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,10,5,,8.25,6,Storm Run (IRE),3,F,145,,2:55.75,175.75,11.00,Leighton Aspell,Roger Teal,,–,77,Hurricane Run (IRE),Jabroot (IRE),Alhaarth,The Thirty Acre Racing Partnership,Tracked leaders - outpaced 2f out - pushed along and no impression after(tchd 12/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,5,6,,9,.75,King Louis (GB),3,G,152,,2:55.90,175.90,4.00,Gerard Tumelty,Alan King,,–,83,Champs Elysees (GB),Starparty (USA),Cozzene,Mr Mrs R Scott,Ran green - in touch - ridden 4f out - outpaced 2f out - no danger after(op 9/4)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,4,7,,9.25,0.2,Kalaskadesemilley (GB),3,G,152,,2:55.99,175.99,21.00,Adam Wedge,Kevin Morgan,,–,83,Myboycharlie (IRE),Congressional (IRE),Grand Lodge,Mrs Catherine E Peck,Held up towards rear - dropped to last 3f out - outpaced 2f out - shaken up and no progress after(op 25/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,9,8,,10.5,1.25,Overdo (GB),3,F,138,,2:56.20,176.20,21.00,Kevin Jones,Seamus Mullins,,–,74,Overbury (IRE),Shuil Do (IRE),Be My Native,Mrs David Woodd,Held up in rear - outpaced 2f out - no chance when not much room and stumbled over 1f out(op 16/1)
2014-11-25,GB,Lingfield (AW),3:30,Vijay Sicka Memorial Cup Junior Standard Open National Hunt Flat Race,NH Flat,Class 6,,,3yo,,1m5f,13f,2615,Standard,9,3,9,,11.25,.75,Duke Of Hanover (GB),3,G,152,,2:56.35,176.35,8.00,Tom OBrien,Alison Hutchinson,,–,80,Duke Of Marmalade (IRE),Caro George (USA),Distant View,Four Winds Racing Partnership,Tracked winner - shaken up and lost 2nd over 2f out - steadily weakened(op 12/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,7,1,,0,0,Native Display (IRE),4,G,154,,3:34.90,214.90,2.50,Andrew Tinkler,Nicky Henderson,1624.50,–,99,Presenting (GB),Native Shore (IRE),Be My Native,J Palmer Brown Potensis Ltd,Chased leaders - not much room on inner over 1f out - went through gap to challenge inside final furlong - led final 50yds - ran on well(op 11/10)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,3,2,,0.2,0.2,It Is I (IRE),4,G,154,,3:34.94,214.94,7.00,Denis ORegan,Don Cantillon,477,–,97,Presenting (GB),Nivalf GB,Gildoran,Don Cantillon,Chased leaders - ridden to challenge over 1f out - led final 100yds - headed and ran on same pace final 50yds(tchd 7/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,6,3,,2,1.75,Muthabir (IRE),4,G,147,,3:35.30,215.30,21.00,Daniel Hiskett,Richard Phillips,238.50,–,95,Nayef (USA),Northern Melody (IRE),Singspiel,Ms Frances Baxter,Held up in touch in last trio - closed and in midfield over 2f out - ridden and outpaced over 1f out - rallied and kept on well inside final furlong(op 25/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,5,4,,2,0.05,Miami Present (IRE),4,G,154,,3:35.31,215.31,13.00,Richie McLernon,Jonjo ONeill,119.25,–,95,Presenting (GB),Miami Nights (GER),Tertullian,Mrs Jonjo Oneill,Chased leader until led 2f out - soon ridden and hard pressed - headed and one pace final 100yds(op 16/1 tchd 10/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,2,5,,2,0.05,Followmybuttons (IRE),4,G,154,,3:35.31,215.31,13.00,Tom Cannon,David Arbuthnot,,–,95,Kalanisi (IRE),Clondalee (IRE),Presenting,Andrew Sarah Wates,In touch in midfield - ridden and outpaced over 1f out - rallied and kept on inside final furlong(op 14/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,8,6,,3.5,1.5,Outrath (IRE),4,G,154,t,3:35.60,215.60,4.00,William Kennedy,Jim Best,,–,93,Captain Rio (GB),Silver Grouse (IRE),Zagreb,Outrath Partnership,In touch in midfield - ridden and outpaced when edged left over 1f out - stayed on same pace after(op 4/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,9,7,,6.5,3,Up Four It (IRE),6,G,151,h,3:36.20,216.20,26.00,Jeremiah McGrath,Jamie Poulton,,–,90,Luso (GB),Newgate Beauty (IRE),Beau Sher,Les Best,In touch in last trio - ridden and outpaced over 1f out - one pace and held after(op 33/1)
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,4,8,,9,2.5,Master Hide (IRE),4,G,154,,3:36.70,216.70,11.00,Michael Byrne,Tim Vaughan,,–,88,Stowaway (GB),Carrigeen Acer (IRE),Lord Americo,Robert Kirkland,In touch in midfield - shuffled back to rear over 2f out - soon ridden - weakened over 1f out
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,10,9,,19,10,Fairy Princess (GB),5,M,140,,3:38.70,218.70,51.00,Mr Daniel Burchell,Gerry Enright,,–,71,Volochine (IRE),Queen Of Cologne (IRE),Brief Truce,Mark Waters,Held up in touch in rear - closed over 2f out - ridden and outpaced 2f out - soon weakened
2014-12-13,GB,Lingfield (AW),3:15,At The Races Maiden Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,1,10,,21,2,Assist (GB),4,G,154,,3:39.10,219.10,26.00,Joshua Moore,Brett Johnson,,–,76,Zamindar (USA),Cochin (USA),Swain,Tann Racing,Led until 2f out - weakened quickly over 1f out(op 33/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,4,1,,0,0,Outrath (IRE),4,G,158,t,3:29.80,209.80,2.25,A P McCoy,Jim Best,1559.52,–,97,Captain Rio (GB),Silver Grouse (IRE),Zagreb,Outrath Partnership,Prominent - disputed lead 6f out - led over 2f out - kicked 3 lengths clear over 1f out - driven out(tchd 6/4)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,3,2,,1.25,1.25,Murray Mount (IRE),4,G,158,,3:30.05,210.05,5.50,Noel Fehily,Charlie Mann,457.92,–,96,Trans Island (GB),Ash GB,Salse,Mark Hitchcroft,In touch - ridden 3f out - ran on to take 2nd inside final furlong - unable to reach winner(op 4/1 tchd 7/2)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,1,3,,2.75,1.5,Kay Sera (GB),6,G,158,,3:30.35,210.35,4.50,Andrew Tinkler,Tony Newcombe,228.96,–,94,Kayf Tara (GB),Inflation GB,Primo Dominie,Nigel Hardy,In touch - joined leaders 3f out - outpaced by winner 2f out - kept on final furlong(op 3/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,6,4,,10.75,8,City Dreams (IRE),4,F,151,,3:31.95,211.95,17.00,Tom Scudamore,Michael Blake,114.48,–,79,Rakti (GB),Attymon Lill (IRE),Marju,B Dunn J Pierce,Took keen hold - prominent - disputed lead 6f out until over 2f out - weakened well over 1f out(op 25/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,2,5,,11.75,1,Monkey Rum (GB),4,G,158,,3:32.15,212.15,15.00,Jack Quinlan,Noel Quinlan,,–,85,Araafa (IRE),Cephalonia GB,Slip Anchor,David F Orourke,Chased leaders - hard ridden 3f out - soon outpaced(tchd 12/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,9,6,,12.25,.5,The Big Mare (GB),5,M,141,,3:32.25,212.25,11.00,Paddy Bradley,Pat Phelan,,–,78,Doyen (IRE),Fizzy Lady GB,Efisio,Ermyn Lodge Stud,Held up in rear - outpaced and lost touch 6f out - stayed on final furlong(op 14/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,7,7,,24.25,12,Grande Vitesse (IRE),4,F,151,,3:34.65,214.65,15.00,Sean Quinlan,Anthony Middleton,,–,66,Dr Massini (IRE),Presenting Shares (IRE),Presenting,Phantom Filly Partnership,Towards rear - effort 4f out - hard ridden and weakened 3f out(op 16/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,10,8,,38.25,14,Too Trigger Happy (GB),5,M,148,,3:37.45,217.45,51.00,Wayne Kavanagh,Dr Jeremy Naylor,,–,52,Double Trigger (IRE),Hilarious (IRE),Petorius,The Acosta Partnership,Led until 6f out - soon weakened - no chance final 3f
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,8,9,,110.25,72,Lisa Says No (GB),4,F,151,,3:51.85,231.85,101.00,Tom Cannon,Tony Newcombe,,–,–,Dubai Destination (USA),Zuloago (USA),Stravinsky,Nigel Hardy,Held up in rear - ridden 6f out - soon well behind(tchd 66/1)
2014-12-21,GB,Lingfield (AW),3:40,Happy Christmas From Lingfield Park Standard Open National Hunt Flat Race (All-Weather) (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard To Slow,10,5,10,,209.25,99,Tension In Court (GB),6,G,158,,4:11.65,251.65,101.00,Tommy Phelan,Peter Purdy,,–,–,High Tension (USA),Tudor Sunset GB,Sunyboy,P D Purdy,Outpaced and soon detached in last place - tailed off from halfway
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,7,1,,0,0,Church Leap (IRE),4,G,144,,3:24.60,204.60,6.00,Nico de Boinville,Patrick Chamings,1949.40,–,104,High Chaparral (IRE),Alambic GB,Cozzene,Robinsonwigginhayward Coleroberts,Held up in rear - progress 4f out to track leading trio 3f out - soon pushed along - ran green but took 2nd over 1f out - ridden and ran on well final furlong to lead last 75yds(op 10/1)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,8,2,,1.5,1.5,Dracos Code (GB),4,G,147,,3:24.90,204.90,2.10,Jamie Moore,Gary Moore,572.40,–,102,Galileo (IRE),Lady Karr GB,Mark Of Esteem,The Golf Partnership,Tracked leading pair - went 2nd over 3f out - ridden to lead 2f out - headed and outpaced last 75yds(op 4/5 tchd 5/4)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,2,3,,8.5,7,Rustamabad (FR),5,G,152,,3:26.30,206.30,5.50,Alan Johns,Tim Vaughan,286.20,–,107,Dylan Thomas (IRE),Rosawa (FR),Linamix,D R Passant,Led - ridden and headed 2f out - lost 2nd and weakened over 1f out - just held on for 3rd(op 7/2)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,5,4,,8.5,0.1,Jennifer Eccles (GB),5,M,152,,3:26.32,206.32,11.00,Paddy Brennan,Suzy Smith,143.10,–,100,Midnight Legend (GB),Cherrygayle (IRE),Strong Gale,P Mercer K W Allisat,Fractious before start - tracked leaders - close up 3f out - on terms but running green 2f out - soon outpaced - nearly snatched 3rd(op 16/1)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,9,5,,17.5,9,King Louis (GB),4,G,147,,3:28.10,208.10,8.00,Wayne Hutchinson,Alan King,,–,86,Champs Elysees (GB),Starparty (USA),Cozzene,Mr Mrs R Scott,In touch - ridden just over 3f out - soon outpaced - no impression on leaders after(op 8/1)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,10,6,,19,1.5,Menace (GB),4,G,144,,3:28.40,208.40,67.00,James Banks,Noel Williams,,–,85,Papal Bull (GB),Wishfully Tropical (IRE),Desert Prince,Whiteshoot Racing,In touch on outer - ridden over 3f out - soon outpaced and beaten
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,6,7,,19.25,0.05,Unify (GB),5,M,152,h,3:28.46,208.46,26.00,Jack Doyle,Ali Stronge,,–,89,Midnight Legend (GB),Holy Smoke GB,Statoblest,Nick J Jones,Held up in rear - shaken up and outpaced from over 3f out - never on terms after
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,3,8,,26.25,7,Thehill Ofthe Rock (IRE),5,G,159,,3:29.85,209.85,34.00,Noel Fehily,Jim Best,,–,89,Indian River (FR),Ballyburn Lady (IRE),Needle Gun,Mr Mrs F W Golding,Tracked leaders - lost place over 4f out - pushed along in rear 3f out - no chance after
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,1,9,,26.25,0.2,Missile Man (IRE),6,H,149,,3:29.89,209.89,26.00,John Storey,Jim Best,,–,89,Winged Love (IRE),Miss Ondee (FR),Dress Parade,Jack Callaghan Christopher Dillon,Took keen hold early - always towards rear - struggling in last 6f out - behind after(op 33/1)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,11,10,,34.25,8,Isla Mayfly (GB),4,F,140,,3:31.45,211.45,21.00,Andrew Tinkler,George Baker,,–,62,Desideratum (GB),Calandria (IRE),Borovoe,George Baker Partners,Pressed leader to over 3f out - weakened rapidly(op 33/1)
2015-01-05,GB,Lingfield (AW),3:40,Lingfield Family Fun Day Standard Open National Hunt Flat Race (Polytrack),NH Flat,Class 6,,,4-6yo,,2m,16f,3219,Standard,11,4,11,,55.25,21,Dont Call Me Doris (GB),5,M,152,,3:35.65,215.65,67.00,William Kennedy,Jess Westwood,,–,53,Franklins Gardens (GB),Grove Dancer GB,Reprimand,Holnicote Partnership,Held up in last - ridden over 5f out - weakened over 3f out - tailed off
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,2,1,,0,0,Unbuckled (IRE),5,M,157,,3:34.90,214.90,7.00,Jack Quinlan,Neil King,1559.52,–,106,Presenting (GB),Una Kasala (GER),Law Society,Mrs J K Buckle,Took keen hold - held up in touch in rear - closed over 2f out - ridden and quickened to chase leaders well over 1f out - led inside final furlong - ran on well - comfortably(op 7/1 tchd 5/1)
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,10,2,,3.75,3.75,Shanandoa (GB),4,F,150,,3:35.65,215.65,3.00,Gavin Sheehan,Brian Barr,457.92,–,95,Shamardal (USA),Divisa (GER),Lomitas,G Hitchins,Led - ridden and quickened entering final 2f - headed and one pace inside final furlong(op 5/2 tchd 15/8)
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,7,3,,4.25,.5,Queen Odessa (IRE),4,F,150,,3:35.75,215.75,5.00,Nick Scholfield,Harry Fry,228.96,–,94,Kings Theatre (IRE),Ma Furie (FR),Balleroy,J K Whymark,Chased leader until over 2f out - outpaced over 1f out - rallied inside final furlong - went 3rd last strides(op 7/2 tchd 5/1)
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,1,4,,4.5,0.3,Mystic Sky (GB),4,F,150,,3:35.80,215.80,5.00,Ciaran Gethings,Lucy Wadham,114.48,–,101,Midnight Legend (GB),Kentucky Sky GB,Cloudings,Tim Wood,Held up in touch in midfield - switched right and headway to chase leaders but wide bend 2f out - soon outpaced - pushed along and went 3rd inside final furlong - kept on - lost 3rd last strides(op 9/2)
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,3,5,,6.25,1.75,Beautiful People (FR),4,F,145,,3:36.15,216.15,101.00,Daniel Hiskett,Richard Phillips,,–,92,Early March (GB),Night Fever I (FR),Garde Royale,Beautiful People,Held up in touch - headway on outer 4f out - chased leader over 2f out - soon ridden and unable to quicken well over 1f out - weakened inside final furlong
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,11,6,,9,2.75,Viking Queen (GB),4,F,150,,3:36.70,216.70,12.00,James Best,Paul Webber,,–,90,Presenting (GB),Swaythe (USA),Swain,Higgy Mette Friends 1,Held up in touch in last trio - headway on outer over 4f out - ridden and outpaced 2f out - stayed on same pace after(op 9/1 tchd 17/2)
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,9,7,,9.75,.75,Romanee Vivant (GB),5,M,145,,3:36.85,216.85,101.00,Lizzie Kelly,Neil King,,–,89,Multiplex (GB),Mrs Oh (IRE),Arctic Lord,Miss Rebecca Fradley,In touch in midfield - ridden and lost place over 3f out - some progress 2f out - kept on same pace after
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,8,8,,14.25,4.5,Raya Hope (IRE),4,F,147,h,3:37.75,217.75,9.00,Tom Bellamy,Alan King,,–,84,Robin Des Champs (FR),Garden City (IRE),Shernazar,Simon Munir Isaac Souede,Took keen hold - held up in touch in rear - headway into midfield halfway - pushed right over 2f out - ridden and outpaced over 2f out - weakened over 1f out(op 6/1)
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,6,9,,17.25,3,Primrose Brown (GB),4,F,150,,3:38.35,218.35,34.00,Andrew Tinkler,Conrad Allen,,–,81,Indian Danehill (IRE),Royal Tango GB,Petoski,Robert Clifton Brown,Chased leaders - ridden and unable to quicken just over 2f out - weakened over 1f out
2015-11-10,GB,Lingfield (AW),4:00,SIS Mares Intermediate Open National Hunt Flat Race (To be run on the All Weather track),NH Flat,Class 6,,,4-6yo,M,2m,16f,3219,Standard,12,4,10,,27.25,10,Breath Of Life (GB),5,M,150,,3:40.35,220.35,67.00,Mattie Batchelor,Mark Rimell,,–,71,Zafeen (FR),Pretty Lady Rose GB,Perpendicular,Sarah Waring Woodland Generators,Took keen hold - well in touch in midfield - ridden and lost place 3f out - behind over 1f out
